key,en,fr,je
MENU_START,Start,Commencer,Banöm
MENU_SETTINGS,Settings,Paramètres,Zoléwè
MENU_CREDITS,Credits,Crédits,Lonowé
MENU_QUIT,Quit,Quitter,Ganöm
PAR_LANG_LABEL,Language,Langue,Ûbong
PAR_LANG_FR,French,Français,Förasé
PAR_LANG_EN,English,Anglais,Agölé
PAR_LANG_JE,Jéyûng,Jéyûng,Jéyûng
PAR_SAV_BUTTON,Save and quit,Sauvegarder et quitter,Téchoröm èng ganöm
MENU_ECHAP_RETURN,Return to the game,Retourner au jeu,Yûpûm on ngamaüé
S01M01O01NOM,A nice and frothy stein of beer,Une chope de bière bien fraîche et mousseuse,Wé gö cara dö bérö zancö ng barapö
S01M01O02NOM,A tall and dark figure,Une grande et sombre silhouette,Wöm siwètö orö ng ngö
S01M01O03NOM,Small yellow sign indicating an electromagnetic danger,Un petit panneau jaune avertissant d’un danger électro-magnétique,
S01M01O04NOM,A bird like shape,Une forme aviaire,Wöm zöm ngûwazonö
S01M01O05NOM,A quaint potted plant,Une simple plante en pot ,Wöm cém
S01M01O06NOM,An intrusive surveilance device,Un système de surveillance intrusif,Wöm üédorû-ngala congö
S01M01O07NOM,An important security device,Un important système de sécurité,Wöm lacè-ngala aüö
S01M01O08NOM,An open book (to be read into),"Un livre ouvert, offrant son savoir",Wöm ûta potûüö söngö tanûm
S01M01O09NOM,A wistful knowledge-monger,"Un vendeur de savoir, mélancolique","Wöm söcatû ûn jan, sadö"
S01M01O10NOM,A lonesome rat,Un rat solitaire,Wöm maüûsö lonö
S01M01O11NOM,"A water dispensing device, of sort",Une sorte de distributeur d’eau,Zömö o-ngala
S01M01O12NOM,The ever watchful eye of the street,L’œil de la rue,Ön üèng ûn doro
S02M01O01,A ship out of time,Un navire uchronique,Wöm chaja wom ayon araro
S02M01O02,A lonesome fishing rod,Une canne à pêche solitaire,Wöm bojû lonö
S02M01O03,A wild teddy-bear,Un nounours sauvage,Wöm tédébèrö jonö
S02M01O04,Yummy bear food,Délicieuse nourriture pour ours,Wöm chöm ûn bèrö yûchèrö
S02M01O05,First bird,Premier oiseau,Onéwé wazo
S02M01O06,Second bird,Deuxième oiseau,Ongö wazo
S02M01O07,Third bird,Troisième oiseau,Ozû wazo
S02M01O08,A character picking up twigs,Un personnage qui ramasse des branches,
S02M01O09,H2O-lava man,Homme de lave d’acide oxique,
S03M01O01,Ur anus,« ur anus »,« ur anus »
S03M01O02,The eye of the storm,L’œil de la tempête,
S03M01O03,Telluric sphere gourmet,Amateur de cookie tellurique,
S03M01O04,Our very own natural satelite,Notre cher satellite naturel,
S03M01O05,Investigative space supository,Suppositoire spatiale ,
S03M01O06,The phenomenom fka UFO,Le phénomène anciennement connu sous le nom d’OVNI,
S03M01O07,Solar catastrophe,Catastrophe solaire,
S03M01O08,Once in a lifetime sighting,Water-tailed meteor,
S03M01O09,ACAB box,Docteur Qui ?,
S03M01O10,Widely popular spatial hoax,Célèbre intox spatiale,
S03M01O11,Fear incarnate,Terreur incarnée,
S01M02O01,« As seen in hentai »,Bras céphalopodiqueux,
S01M02O02,Person waiting to cross the street,Personne qui attend de traverser la route,
S01M02O03,Vehicular manslaughter machine,Vecteur d’homicides motorisés,
S01M02O04,Big mythical lizard,Gigantesque lézard mythique,
S01M02O05,« Just getting back in my car »,« Moi quand je rentre dans ma voiture »,
S01M02O06,Big bird,Gros oiseau,
S01M02O07,Viral graffiti,Graffiti viral,
S01M02O08,"Sign looking, respectfully","Panneau voyeur, respectueusement",
S01M02O09,Posted up in the tree,Assis dans l’arbre,
S01M02O10,Some sort of gross growth,Sale sac de graisse,
S01M02O11,Why is this postal implement doing there,Qu’est-ce que cet outil postale fait ici ?,
S01M02O12,"Three birds, just chilling","Trois oiseaux, tranquilles",
S01M02O13,A particullarilly slender man,Un homme très fin,
